Batman vs Superman	batman vs superman
Everyone's a sucker for redemption flicks. This film must have made a fortune. 	Har kisi ko redemption flick acchi lagti hai. Is movie ne bahut paisa kamaya hoga.
Wellhe made a fortune in the movie.	Well usne to kamaya hi hoga.
People say the real guy made a lot of money inventing new ways of stopping cons.	Log kehte hai asli aadmi ne cons ko rokne k naye tareeko se bahut paisa kamaya
Makes sense.	Makes sense
Everyone loves a happy ending too.	Aur har kisi ko happy ending bhi pasand hoti hai
Sort of reminds me of Forest Gump.	Ye mere ko Forest Gump remind karata hai
DId you stay for the ending? They reveal the real guy then.	Tum ending k liye ruke the? Wo tab asli aadmi ko reveal karte hai.
During the credits, I mean.	Credits ke time, mera matlab
OH Yeah. Saw the photo of the real guy.	OH Yeah. Asli bande ki photo dekhi.
A real good movie. 	Ek kafi acchi movie.
Hey	namaste
I had no idea this movie was actually based on a self-help book	Mujhe koi idea nahi tha ye movie actually ek self-help book k upar based hai
Hi. Oh wow. That is an interesting fact	Hi. Oh wow. Wo ek interesting fact hai
yeah	haan
love this movie lol. i've watched it so many times, it never gets old.	Mujhe ye movie bahut pasand hai lol. Maine ye itne baar dekhi hai, kabhi purani nahi hoti
the social commentary is too funny	Social commentary bahut hi funny hai
Well not a big fan of Lindsay Lohan but I think the movie was fun	Waise to main Lindsay Lohan na bada fan nahi hu but mujhe lagta hai ye movie bahut mazedaar thi
Love Tina Fey and Amy Poehler	Tina Fey aur Amy Poehler bahut pasand h
I can't believe this movie is already over a decade old though. Yeah Tina Fey wrote the screenplay but not sure what Amy Poehler did?	Mujhe yakeen nahi hoti ye movie ek already ek decade se jyada purani ho chuki hai. Haan Tina Fey ne screenplay likha tha but sure nahi hu k Amy Poehler k kya kiya
Yeah it's so crazy haha. makes you feel old	Haan ye bahut crazy hai. khud ko old feel hota hai
Amy Poehler was Regina George's mom	Amy Poehler Regina George ki mom thi.
The document doesn't say this so I can't be sure	mei sunishachit nahi hui kyoki dastaveg nahi kah rahe hai
Quite decent ratings and reviews! 	kaphi achchi rating hai or samiksha bhi hai
yeah she's not a main character	ha vah mukhya kirdar nahi hai
yeah definitely	haa nishchit shoop se
(we shouldn't talk about anything not mentioned in the document)	hamako dastaveg mei likha chijo ke baare mei baat nahi karne chahiye.
oh yeah. 	haa
i thought that would be relevant to the movie haha but yeah let's be safe	ha mujhe lagata hai ki ye film haha se sambadhit hai yadi ye surakshit hai to
Scene 1 is hilarious	scene 1 bahut he majakiya hai
The descriptions of the Plastics are really funny	plastics ke vishaya mei jo bataya gaya hai vah bahut he majakiya hai
That was funny the "plastics"	ye bahut he majakiya hai plastics
And the queen bee Regina George. Haha. 	aur voh queen bee Regina George thi.. ha ha
haha	ha ha
The wording of scene 2 is funny as well. I like how they wrote this, it captures the essence of the movie.	us scene2 ka wording tho funny tha.. muje tho unka likhavat pasand aaya, ki mein uska essence captures ki liya
So much drama between high school girls. Well it's not unusual high school students have drama but they kicked it up a notch 	jyada drama hein yar us high school girls ke aapas. magar us high school students ka drama tho unusual tha isliye voh kicked up kiya
Haha yeah definitely	ha ha jarur
It seems so silly which makes it funny	yeh tho silly hein yar.. tho kya aapko funny laga
satirical	satirical
I think it's so funny that Regina casually breaks her spine and is hit by a bus	muje tho us Regina ka spine breaks huva jab usne bus ko hit huvi us scene ko funny laga
Well the principal.. When I was watching the movie, I felt for him.. don't wanna be in his position	haan yar voh tho principal hein... jab mein movie dekh raha tha muje bhi aise hi laga... us position mein kabhi nahi rehana cha unga
Hahah yeah definitely	haa jarur yar
Ms. Norbury handled this well	Norbury madam ne acchi tarah se is bat ki
And Ms. Norbury and others... it must have been a headache	Norbury madam aur bhi log. Headache hoga
I like that Cady becomes her old self again in scene 3	Mujhko is bat pasand lagta hai ki scene three men Cady purani Cady jaise banti hai
It makes high school drama seem like a "phase"	Lagta hai ki high-school drama ek faze hota hai
And here comes Aaron! Finally a boy enters the scene. Remember the tension when we watched?	Yeh raha Aaron. Finally scene men larka aata hai. Jab ham is ko dekha, remember kitne tension tha?
Haha yeah!	Haha yeah!
I'm proud of her for reconciling with her friends and becoming elected Prom Queen, which shows her character development	Main is ko proud hoon, friends ko reconciling, aur bhi prom queen banna. Isse uska character development karta hai.
Yes. Very nice of her.	Zaroor. Bahut mast hai.
Nice touch when she said "her classmates are wonderful in their own way"	Aur acchi bat hai, kehna sab log classmates se "wonderful in their own way."
I'd say that was very mature of her	Main kahta hoon ki bahut mature hoti hai.
I agree. I love that she's promoting acceptance and tolerance.	Me sehmat hu.i love that wo acceptance and tolerance promot karti he
It's a nice way to end the film.	Wo film pura karne ke liye nice way he
I think we're done!	Me sochta hu ki hamne kar diya!
Yes! thanks! it was nice talking to you	Ha!dhanyvad!aapse bat karke accha laga
HI there! Have you ever seen this?	HI there! kya tumne ye dekhi hai?
Hey! Yeah I have but it was a LONG time ago	Hey!  han maine dekhi hai par kafi pehle
what about you	what about you
It was a long time ago for me too, but I remember because all the dark knight movies came out afterwards	ye mere liye bhi kafi pehle tha, lekin mujhe yaad hai kyunki dark knight movies uske baad ayi thi
though they took forever to make those ones... or at least waited forever	mujhe laga use banane mein they took forever..ya fir waited forever
I personally liked the dark knight movies way more	muje personally dark knight movies behtar lagi
especially the first one	khaskar pehle wali
yeah, they didnt do a very good job of connecting the storylines	han, unhone storylines connect karne ka kaam sahi se nahi kiya
and christian bale wasnt my fav batman either	aur christian bale bhi mera fav batman nahi tha
i don't think too many people like him as batman honestly	honestly mujhe nahi lagta zyada log usey as batman like karte hai
The voice he made was almost comical	jo voice usne nikali wo kafi comical thi
the best part is he tried so hard on that voice too	best part hai ki usne kafi hard try kiya us voice pe
hahaha I know	hahaha nujhe pata hai
but i cant talk too much because i always get flack for like ben affleck	par main zyada baat nahi karta kyunki mujhe ben affleck ko zyada like karne ke liye flak milti hai
liking*	liking*
affleck>bale 	affleck>bale
YAS someone agrees haha	YAS kisi ne to agree kiya
what about tom hardy in the new ones?	naye walo mein tom hardy ke baare mein kya khayaal hai
I'd say he did better than both of them 	main kahunga usne un dono se acha kiya
I agree!!!!	I agree!!!!
its been years but i still can't get over heath ledgers acting as the joker 	itne saal ho gaye par main abhi bhi heath ledgers ki joker ki acting ko bhula nahi sakta.
that was some next level stuff	ye thoda next level stuff tha
Agreed. It took a lot of good ating to be as good in the role as jack nicholson	Agreed. jack nicholson ki tarah good acting karne mein kafi mehnat lagti hai.
oh jeez my typing is awful today. acting*	oh Jeez, meri typing aaj awful hai. acting*
lol you're fine	lol tum thik ho
im not used to typing without emojis 	me without emojis typing ka used to nahi hun.
#firstworldproblems	#firstworldproblems
oh yeah me too. too much texting	oh yeah mai bhi. Bahut jyada texting
you know who i did love in these movies tho?	kya tum jaante ho, in movies me maine kis se pyaar kiya tha?
who?	Who?
MICHAEL CAINE	MICHAEL CAINE
TRUEEEEEE	TRUEEEEEE
He does so well as alfred :'D	Wo alfred ki tarah bahut acche se karta hai  :'D
you can't not like him	aapko tho usse pasand nahi aayega
mhmm. good in children of men too	mhmm.. acha huva bachon ka
Didn't he have a cameo in one of the recent superhero movies?	kya uska recent superhero movies mein kuch cameo ke tarah nazar nahi aaya?
Or am i thinking of someone else/	ya mein kuch aur soch raha hoon
michael caine?	michael caine?
yea	haan
oh god there are so many superhero movies now that i really couldnt tell you	oh god .. kaafi superhero movies  hein yar lekin ab mein kuch bol nahi saktha hoon
good point lmao	ache point imao
u wanna know one superhero movie that im REALLY excited for	aap jaana chahiyenge mera yek superhero movies ke baare mein jo mein really excited hoon
whats that	kya hein
THE INCREDIBLES 2!!!	THE INCREDIBLES 2!!!
k I just talked about this yesterday	k maine just yesterday iske bare mein baat ki
I've waited for soooooo loooooong	soooooo loooooong maine wait kiya
i am so excited and its taking way too long	main bahut excited hun aur ye kafi time le raha hai
yes!	haan!
i will push children out of the way to watch it	main childrens ko isey watch karne ke liye out of the way push karunga
right at the end of the movie, we were like when is the next...ten years later...haha	movie ke just end mein, we were like kab hain agla..dus saal baad..haha
hahahaha	hahahaha
I think we are allowed to end our convo now?	mujhe lagta hai ham convo ko end karne ke liye allowed hain
I have no idea honestly	mujhe koi idea nahi hai sach mein
Haha well Im gonna see, it was lovely chatting!!! have a great day!	haha well main dekhunga, chatting karna lovely tha!!! have a great day!
Hi! How are you? Seen any good movies lately?	Hi! kaise ho, koi movie dekhe kya recently
yeah, Frozen	haan, frozen.
Sounds like a cold movie! Can you tell me what it's about? 	Thandi movie lagti hai, uske baare me kuch bata sakte ho?
Its about two girls Anna and Elsa	Iske Bare Mein Do Ladkiyan Anna Aur Elsa
Anna is a princess	Anna Ek Rajkumar Hai
and Elsa is her younger sister	Aur Elsa Uski Bhen Hai
Gotcha! Is it a movie for children or adults or both?	Pakad Liya Kya Ye Baccho Ya Vastavo Ya Dono Ke Liye Ek Movie Hai?
Difficult to say, probably for both	Khena Mushkil Hai Shayed Dono Ke Liye
Well I like kids movies just as much as adult ones sometimes! Did you really enjoy watching it? 	wese mujhe baccho ki movie bhi utni pasand hai jitni kabhi kabhi vyasak logo ki kya aapko vastav mein is dekhne mein maja aya?
well,  its been acclaimed as the best musical made by Disney	acchi trah se ye dizhi dwara nimrit savarshesth sangit ke rup mein parsanshit hai
I'm trying to find a good movie to watch tonight. 	mein aaj raat ko ek acchi movie dekhne ki koshish kar rha hun.
Sounds like a hit then! Disney movies are always excellent. 	ek hit ki trah lagta hai dizni ke movie hamesha hit hoti hai.
yeah, its also 3D animated, the visual are really good	han iski 3d enimated vasatv mein accha hai
even rotten tomatoes gave it 89%	sade tomatoes ne bhi 89% diye
Not a bad review for Rotten Tomatoes! I	sade tomatoes ke liye utna bura review nahin hai
Is it fairly new or a few years old?	kya kuch naya hai ya kuch saal purana hai ?
well,  it came out in 2013	woh 2013 me aaya tha
So fairly new. At least compared to some of the other Disney princess movies!	thoda naya hai kam se kam doosre disney princess movie ki tulna mein
Can you tell me what the basic plot is?	bato sakte ho basic plot kya hai ?
Don't give too much away though! I don't want to know the ending!	jyada mat batao! mujhe ending nahi janna hai
ahaahah, ok	ahaahah, accha
the plot is really good, magic things, talking animals, its exactly what we want from Disney	plot bahut accha hai, magic cheezen, bolte animals, exactly yahi chahiye thi disney se
Perfect! 	ek dam sahi !
I think I have found my movie for tonight! 	mujhe lagata hai ki mujhe aaj raat ke lie apanee philm mil gaee hai!
Thanks so much for your recommendation!	aapakee siphaarish ke lie bahut bahut dhanyavaad!
Sure, no problem! Its also very emotional, so you may need some tissues :)	bilakul koee pareshaanee nahee! yah bhee bahut bhaavuk hai, isalie aapako kuchh ootakon kee aavashyakata ho sakatee hai :)
All the best ones are tear jerkers! I'll be sure to have them handy along with some good snacks.	sabhee behatareen aansoo jhatakedaar hain! mujhe yakeen hai ki unhen kuchh achchhe snaiks ke saath kaam karana hoga.
yeah, the ending is definitely not what you would expect it to be 	haan, ant nishchit roop se vah nahin hai jo aap yah hone kee ummeed karenge
Is it a happy ending at least?	kya yah kam se kam ek sukhad ant hai?
well, you have to see it yourself	theek hai, aapako ise svayan dekhana hoga
not to spoil it	ise kharaab karane ke lie nahin
the only hint I will give you is that it gets "political" at the end 	ekamaatr sanket jo main aapako doonga ki vah ant mein "raajaneetik" ho jaata hai
True! I hope it's a happy ending! Is this a Disney movie that has a sequel?	sach! mujhe aasha hai ki yah sukhad ant hai! kya yah ek dijnee philm hai jisaka seekval hai?
actually, I don't know	actually, mujhe pata nahi hai
Well since it's so new they may have not made one yet. But since it had such great reviews I'm sure they will! I	Well kyunki ye itna naya hai woh abhi tak banaya nahi hai.Lekin itne great reviews mile ki mujhe surely lagta ki woh banayenge!
I'll tell you if I enjoyed watching it but I'm sure I will! 	Main bataungi ki maine watch karte hue enjoy kiya lekin i'm sure main karungi!
Good morning	SHUBH PRABHAAT
Good morning!	SHUBH PRABHAAT
Have you ever seen the movie 'the blind side'?	AAP KABHI "THE BLIND SIDE " MOVIE DEKHA HAI?
Have you seen the Blind Side before?	AAP THE BLIND SIDE KABHI DEKHA HAI ?
Ha! Yes but it's been awhile.	HA BAHUT DIN PAHALE DEKHA HAIN
Jinx. :)	JINX.:
You?	TUM?
Same for me, it has been a while since I last seen it	MAIN  BHI,BAHUT DIN HO GAYA ISKO DEKH KAR
I'm surprised it got such low reviews.	MAIN AASCHARY HOON IS KE REVIEW DEKH KAR
I agree, the numbers seem far too low. IMDb's score is not listed, however	I agree, number bahut jyada low dikh rahe hai. Waise IMDb' score listed nahi hai
Do you like Sandra Bullock?	Tum Sandra Bullock ko like karte ho?
She is quite good in all of her films.	Wo apni her film me quite good hoti hai
What do you think of her?	uske baare me aapki kya thinking hai?
I agree. I thought she was really good in this one too.	I agree. I thought wo isme bhi utni hi badhiya thi.
The guy that played Big Mike was good too	Wo jisne Big Mike ko play kiya tha bhi achcha tha
Agreed, they both were quite good	Agreed, wo dono hi equally good the.
The back story for Mike was kind of sad	Mike ki back story kafi sad type ki thi.
Indeed. It is an interesting story. Seeing this boy go from poverty and sleeping on someone's couch to college prospect, and then professional player was inspiring	Indeed. ye bahut interesing story hai. Is boy ko poverty ke dauran kisi aur ke couch par sote dekhne se uske college prospect tak, aur then professional player bante dekhna bahut inspiring tha.
I'm sure the movie inspired a lot of other young athletes	I am sure is movie ne dusre young athletes ko bhi bahut inspire kiya hoga.
Understandably	Yeh understandable hai.
I think it's incredible that this family took him in like that	Mujhe yeh incredible lagta hai ki uski family ne use apna liya.
It is incredible. Something that is totally lacking in most of the world, to be honest	Haan, incredible hai.  Sach kahoon to yeh baat duniya bhar mein totally lacking hai.
which is why they had to make a movie about it :)	Isi karan unko iske baare movie banana pada.
Of course	Bilkul.
I would be curious to know where Mike is today	Main yeh pata lagane ke liye curious hoon ki aajkal Mike kahan hai?
He is still in the NFL, I believe	Mera vishwas hai ki woh ab bhi NFL mein hai.
I am not as sure as to what team he plays for, but I am relatively sure that he is still playing	Mujhe nahin jaanta ki woh kis team ke liye khelta hai, but main relatively sure hoon ke woh ab bhi khelta hai.
I didn't remember that Tim McGraw was the dad. He's the big country singer right?	Mujhe yaad nahin tha ki Tim McGraw hi dad hai.  Woh ek bada country singer hai, theek hai na?
He is. I do not remember him much from the movie, which may or may not be a bad thing	Haan hai.  Mujhe movie se uske baare mein yaad nahin hai, jo achchi ya buri cheez ho sakti hai.
Alright have a good day!	tho kaise hein aaj ka din
what was your opinion on the movie?	ye movie aap ka opinion kya hi?
It does sound pretty interesting and I can see the reviews are pretty high	ye tho pretty interest lag raha hi aour mene dekha hi ki riviews tho pretty jyada hi.
I personally have watched this movie. I thought it was super cute and it can be related to general life.	mene khood dekha ye movie. me ne socha hi ki , ye tho bahut cute aour ye tho relate to general life.
are you familiar with any of the actors?	aap pi chanta hi kya koyi actors ko?
Yes the short reviews at the bottom suggest it is thought provoking. 	ha, ye neeche chota reviews hi na , vo tho thoda sochne ka hi.
I can't say for sure but gennifer Goodwin sounds familiar	me ne nahi bhol sakta hi surely, but gennifer goodwin tho bahut familiar hi.
Have you seen any other movies from the director? 	aap koyi movies dekha hi kya ye director ka?
Honestly, when I watch movies, I hardly ever pay attention to who made it. 	saccha yi se , jab mi ne dekte hu movies ko, mi ne utna attention nahi rakta hu, ye koun banaya hi.
have you?	aap kuch?
Nope. I am a sucker for movies with animated animals though so I will definitely have to check this out. 	nahi. muje toh animated animal movies koh pasand hein toh mein jarur usse check karunga
Yea, Judy Hopps is the main character and is considered the first ever bunny cop. Sounds funny. 	yea, judy hopps toh main character hein, aur voh toh pehla bunny cop hein. badi funny laga
Agreed. There's a comment at the bottom about species stereotypes which sounds interesting too	maantha hoon. kuch species stereotype ka comment bottom mein hein bahut interesting laga
But they thought she would be able to handle being a cop  because shes a bunny.	lakin sab sochthe the ki yek bunny kaise cop bana aur voh kaise handle kar paathe
Most of the cop or police are normally these big animals.	kahi cop yar police toh badi badi animals hi role play karte.
Yep. Which to me is a bit counterintuitive because you think of rabbits being a prey species so more likely to run away from trouble. 	haan. muje bhi thoda counterintuitive laga kyon ki rabbit toh yek prey species hein aur voh toh trouble mein run karna hi pasand karega
Exactly.	bilkul
Of course the fox has to be the bad guy	haan aur fox toh bad guy hein
Actually, he is displayed as the slick fox. Always trying to con his way in to something.	actually, voh toh alick fox ko dekhayi gaya hein... kabhi bhi voh usko ache ke taraf hi le ja raha tha
But he turns out to be a good guy. 	lakin voh toh good guy nikhla
I'm trying to figure out who otterton and Manchas are from the new paragraph that flashed up	mai figure out karne ki koshish kar raha ahi ki otterton aur Manchas kya new paragraph se flash up hue hai
Oh so like another goes away from the norm type of character in the fox	are to ye ek aur gaya apne fox ke character se door
Key scene two shows rabbit and fox working together! 	key scene me rabbit aur fox dono ko together working karte dikhaya hai
Otterton is a missing person that judy is trying to find	otterton ek missing person hai jise judy dhundhne ki koshish kar rahi hai
Judy kind of blackmailed Nick(fox) in working with her.	Judy ne lagbhag Nick(fox) ko blackmai kiya uske sath work karne ke liye
I see. It sounds like a movie that has a well developed story line	I see, yah to us movie ki tarah sound kar raha hai jiska ek well developed story line hai
It was a very good kids movie.	yah kids ki lye badhiya movie thi
I'm just shocked that it wasn't as big as the Disney movies	mujhe ye dekh ke shock laga kiy Disney movies ki tarah badi nahi hai
Oh ok. I'm a little bit wary of rotten tomato ratings also	Oh ok, mai bhi rotten tomato ki rating ko lekar dukhi rahta hu.
They can sometimes stray quite far from the other review sites of a bunch of very keen reviewers want to bump the score	kabhi kabhi wo dusri review sites se jo kuch keen reveiwers ke dwara hoti hai kafi bhatak jate hai
Ok scene three has some drug manufacturing going on! 	Ok scene three me kuch drug manufacturing ho rahi hai.
Yes, the drugs make the animals revert to their natural state.	Yes, drugs animals ko wapas unki natural state me le aati hai.
Oh so there must be some other force making them break moulds	oh wanha par kuch dusra force bhi hona chahiye unko break moulds banane ke liye.
They become crazy animals again	Wo fir se crazy animals ban gaye.
But this is all while they still think Judy is a small cop	but ye sab tab bhi hai jab unhe laga thai ki Judy small cop hai
so they still dont consider her a strong animal	so wo abhi bhi use strong animal nahi consider karte.
I see. Interesting. Hope she gets more respect later with all the arrests	I see, Interesting. Hope baki arrests ke baad use or jyada respect mile
yea she does	Yea usne kar dikhaya
would you see this movie?	Kya tum se movie dekhoge?
Hello! How are you doing?	HELLO! KAISA HAAL HAI AAP KA.
I'm not able to see the document that we will be discussing. Do you mind telling me what movie it is that we will be talking about?	WOH DOCUMENT JO HUM BAATH KARNEWALE HAIN WOH MUJHE DIKHAYE NAHIN DETA.AAPKO AITRAAZ HAI WOH MOVIE KA NAAM BATANE MEIN JIN KE BAARE MEIN HUM BAATH KARNEWALE HAIN.
I don't mean to pester you, but could you please confirm that you are receiving my messages?	MEIN AAPKO PARESHAN NAHIN KARNA CHAHTA HOON LEKIN KYA AAP PLEASE CONFIRM KARENGE KI AAP KO MESSAGES MIL RAHI HAI.
I'm sorry, but I am going to have to abort the conversation within the next couple of minutes if I don't receive a response from you.	MEIN MAAFI CHAHTA HOON, LEKIN MUJHE WOH BAATHCHEET KUCH MINUTON MEIN RADD KAR DENA HAI AGAR AAPSE KOYI UTTAR NAHIN MILA TOH.
It has now been five minutes since we began this chat. If I have not heard from you within the next minute, I will have to abort this conversation. I am sorry for any inconvenience that this may cause for you.	PAANCH MINUTE HO GAYE HAMARA CHAT SHURO HO KAR. AAPKA UTTAR AGAR MUJHE AGLA MINUTE TAK NAHIN MILA TOH MUJHE YE BAATHCHEET RADD KARNI PADEGI.MEIN MAAFI CHAHTA HOON AGAR AAPKO KUCH ASUVIDHA HO.
It is a film directed by Steven Spielberg in 2002 it's a bio graphical crime about the character named Frank Abagnale Whom at a young age ran away from home to commit fraud 	WOH EK FILM HAI JO 2002 MEIN STEVEN SPEIELBERG DWARA NIRDESHIT. WOH EK BIOGRAPHICAL APRAADH HAI JO EK KIRDHAR FRANK ABAGNALE  KE BAARE MEIN HAI JO CHOTI UMR MEIN DOKHA KARNE KE LIYE GHAR SE BHAAG GAYA.
What is the name of the film?	WOH FILM KA NAAM KYA HAI?
Catch me if you can	HO SAKE TO PAKAD MUJHE
I don't think I've ever seen that, but I do remember hearing about it. Have you seen it?	MUJHE NAHIN LAGTA KI MEIN AAJ TAK WOH DEKHA LEKIN MUJHE YAAD HAI USKE BAARE MEIN SUNA HAI. AAP NE DEKHA HAI?
Yes I've seen it and is very good film	HAAN MEINE DEKHA HAI AUR BAHUT ACCHI FILM HAI.
It definitely sounds interesting. I will definitely watch it at some point. Why does the character run away from home?	yeh definitely interesting sound kartha.. mein jarur is movie ko dekhunga.. konsa character ghar se bhaga?
It is starring Leonardo Leonardo DiCaprio as Frank Abignale whom is a master at check fraud and Tom Hanks is the FBI agent who chases him	leonardo dicaprio- frank abignale se starr hota jo fraud karne pe master hein, aur tom hanks jo FBI agent they voh usse chase karthe
Leonardo DiCaprio and Tom Hanks are both incredible actors. What is his reason for running away from home to commit fraud?	leonardo dicaprio aur tom hanks dono incredible actors hein.. kya reason hein voh apne ghar se bhag ne ka?
He's running away from the character the Tom Hanks plays as the FBI agent agent who is trying to catch up who's trying to catch him for check fraud, Leonardo DiCaprio poses as a pan am American pilot	voh tom hanks jo FBI agent they uske liye bhag raha tha kyon ki voh uska fraud ko catch karne par koshis kar raha tha.. leonardo dicaprio yek american pilot they
Now that you mention it, I remember seeing the trailer for this and really wanting to see it.	haan aap mention kiya, ah muje yaad aatha us trailer ko
Yeah it's definitely a very suspense field film and if you like Leonardo DiCaprio you will very much enjoy this film	haan, definately mein is film tho badi suspense hein, agar aapko leonardo dicaprio pasand hein tho aap jarur is film ko enjoykarenge
Any film that I've ever seen with him in it was really good. It's ironic that you mention him because for some reason, I've been in the mood to watch Titanic.	haan kaafi filmon mein voh ache perform karthe... voh ironic hein, muje unhe titanic mein pasand hein
Has another movie now shown up on your end for us to discuss?	tho aur koi movie ka end hum discuss kareng?
This movie was really good I think it should have earned Leonardo DiCaprio the Oscar that he will deserves. This movie is definitely well watching it has Tom Hanks and Leonardo DiCaprio and it is very suspense field and will keep you on the edge of your seat the whole	is movie tho vakahi mein ache hein,, leonardo dicario tho oscar ke liye deserve hein.. is movies  ko definitely watch karunga...
No other than that you mentioned titanic	titanic ke behetar aur koi nahi
I like movies that keep me on the edge and that are suspenseful.	mujhe aisee movie pasand hain jo mujhe edge par rakhati hain aur suspenseful he.
Which titanic is one of my favorite Leonardo DiCaprio movies ever	Jisme Leonardo DiCaprio ki titanic movie mere favorite movie me se ek hai
I think you would really enjoy this movie and you should give it a watch	Mujhe lagta hai, Aap yah movie ko bahut hi enjoy karenge aur Apko ek baar use dekhni chahiye
Me, too. I also really like Black Diamond. Catch Me If You Can will absolutely be the next movie that I watch.	Mujhe bhi, Mai bhi Black Diamond ko bahut hi like karta hu. Meri agli movie jo me dekhne vala hu vo vahi hogi.
I have never seen black diamond does that also star Leonardo DiCaprio	Maine kabhi black diamond nahi dekhi kya usme bhi Leonardo DiCaprio star hai
Do you know if Leonardo DiCaprio was nominated for an Oscar for this movie?	kya apako pata hai ki Leonardo DiCaprio ko is movie ke liye Oscar ke liye nominated kiya gaya tha?
Oh, I'm sorry. I meant Blood Diamond. Blood Diamond does star Leonard Dicaprio, yes.	oh, sorry. mera matlat hai Blood Diamond. Haa, Blood Diamond me Leonard Dicaprio star hai.
The only movie that I know of that Leonardo DiCaprio was nominated for Oscar wasThe movie named revenant	Leonardo DiCaprio ki sirf ek movie mujhe pata hai jiska naam badala hua tha use Oscar ke liye nominated kiya gaya tha.
Oh yes I have seen blood diamond in that was a very good movie as well	Oh yes, Maine blood diamond dekhi hui hai usme vah ek badhiya movie thi
Gotcha. I think he deserves a lot more than that.	Gotcha. mujhe lagata hai ki vah isse bahut adhik deserve karta hai.
I agree it is sad that it took them this long to actually earn his Oscar although the movie the revenant was quite	mein maantha hoon, yeh sad hein yar kyon ki voh oscar toh jeet liya lekin is movie thoda revenant nikla
Amazing	amazing yar
I agree as well. Given that Catch Me If You Can was released in 2002, I doubt he'll earn an Oscar for that. Any time that I see that a movie will be starring him or even that he'll be in, I'm always interested in watching it.	mein bhi maantha hoon.. jab 2002 mein Catch me if you can released huva tha tho, sabhi oscar ke liye intzar kar rahe the... tho sabhi is movie ko dekhne ke liye bahut bechan ho rahe they
Yes me as well he's a very good actor and deserves a lot more credit than what he has gotten	haan mein bhi.. voh badiya actor hein aur kaafi deserve karte..
If you are a Leonardo DiCaprio fan I suggest you also watch a film he starred in called inception	agar aap leonardo dicaprio ka fan ho tho mein yeh film ko dekhne ka jarur suggest karunga
I completely agree. You have definitely convinced me to watch Catch Me If You Can. Thank you for providing me with all of the information about it. Do you happen to know if it is available on Netflix?	mein tho maantha hoon.. mein tho definitely convinced hoon catch me if you can ko dekhne ke liye.. Thank you muje iska information dene ke liye.. kya netflix mein hein ?
I've actually seen Inception, and it is a great movie!	mein inception dekha hoon, badiya movie hein
I wish it was available on Netflix but I'm not very sure that it is I have rented it from my movie store that is close to my home	muje lagtha hein ki yeh netflix mein available  hoga lekin itna bhi sure nahi, kyon ki is movie ke liye mein rent bhi karna taiyar tha
Okay. Well, thank you for all of the information. It looks like we are finished up with our chat. Thank you again for providing me with the information about the movie! Have a great night.	acha tho thankyou is information ke liye.. tho ab muje thoda kaam hein.. hum fir is movie ke baare mein kal baat chat karenge.. subh raathri..
Yes inception is a great film and Leonardo DiCaprio and Joseph Gordon Levitt star in that film	haan, inception tho badiya film hein.. Leonardo dicaprio aur joseph gordon levitt tho badiya star hein in film mein
I know. I love them both, and I love that movie.	muje patha hein muje is movie aur dono ko pasand hein
Dude 	dost
what's good?	Achcha hai kya ?
hey	hey
you told me you would review a movie with me the last time we talked 	akhari baar jab hamane baat kiya tha ki tum mere saath film ki samiksha karoge.
so you have my full attention 	to aap par mera pura dhayan hai
bring it on	jo hai vo samane rakho
Have you seen batman vs superman?	kya tumane  batman banaam superman dekha hai?
Nope 	nahi
why not?	Kyu nahi?
but I almost saw the trailer sometimes back	Par mene uska trailer thode time pehle dekha hai
Maybe because i don't fancy them	Shayad because me use fancy nahi krta
so what's up with the movie?	To movie ke sath kya hua?
Haven't you heard that it is a great movie?	Tumne suna nahi he wo ek great movie he?
Yeah, I hear that too often	Ha,me use bhi barbar sunta hu
I guess it is a Sci-Fi genre right?	Me sochta hu wo Sci-Fi genre hai sahi?
not really	Jaruri nahi
so what genre does it belong?	To konse genre se wo belong karta hai?
It's more of a fantasy, you should go see it it, it is action packed.	Usme fantasy bahut hai,tume use dekhne jana joga,wo action packed he.
WHAT IS THE GENRE?	Kaunse genre ki hai?
fantasy	fantasy
remind me the director's name please, 	Mujhe director ka naam yaad dilana, please
Is there a particular reason you have not seen it yet?	kya koi particular reason hai k tumhe wo ab tak nahi dekhi?
No not any	No , koi nahi
can you give me a run down of the cast?	Cast ka naam bata sakte ho tum?
why? Why didn't the tr ailer interest you?	Kyu? Trailer dekh k interest kyu ni hua?
Batman vs Superman	Batman vs Superman
The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10.	zack snyder hi director hein, rotten tomatoes ne tho 27% deya jo 4.9/10
Not very popular it seems	itna bhi popular nahi hein
But the audiences liked it. It has a B cinema  score 	lekin audiences ko pasand hein. yeh B cinema ka score hein
Yes	haan
There is a huge divergence between proffession al critical opinion and regular movie goers	kaafi divergence hein profession al critical ka opinion aur regular movie ka goers
I've never seen it	mein nahi dekha hoon
I know the difference. 	muje uska difference ke baare mein kuch patha hein
I can't believe they used Ben Affleck as Batman	muje yakin hi nahi hota ki voh ben affleck ko batman se used kiya tha
So it probably won't get any awards, but should have done well enough at the box office	tho kuch award nahi mila lekin voh sab box office mein ache collection mila
It was a strange choice	yeh tho strange choice hein yar
Well it was made in 2016	well ye 2016 me bani thi
